"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Europe & Central Asia","ECS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","2110386","2124253","2098962","1996721","1990223","1936627","1862612","1863711","2020124","1980419","2010261","1755414","1751483","1589635","1499456","1348061","1396230","1351895","1252940","1301653","1418110","1469302","1510001","1395959","1400925","1069909","985367","1020757","895900","819145","755697","739437","802595","808591","760840","632879","675754","590785","560640","557209","486078","534653","477477","469371","480087","510465","522871","",
"Ecuador","ECU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","104133","","108680","105317","109510","109850","95661","87482","72260","82140","","","","","","","","","","","","","","58190","54793","45160","25641","20865","22310","19040","6289","","","","11188","6355","","35869","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","1266100","1290590","1329260","","","","","1391874","","","","","","","","","","","","","","","","754701","","","659235","","647306","557079","499182","442636","393683","339797","","","","","","","","34210","","","","","","","","",
"Euro area","EMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","484476","489250","477100","496435","458967","448923","421631","429328","352017","309045","295253","301416","331915","380106","389983","379883","303901","268805","252098","239910","256513","266953","307362","295583","320538","267952","195240","172757","60566","98983","101978","104115","176066","181869","181276","109852","104481","85957","102336","105527","105515","84218","82579","90803","121112","98459","78392","92917","107430","106727","",
"Eritrea","ERI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115918","","117643","118796","117843","117467","","105110","92072","86806","71918","57129","46556","36483","31893","39915","46972","55380","64524","64243","64577","78569","87020","98115","","122508","124564","","",
"Spain","ESP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","84018","60898","49450","","","","","18355","13991","","","","","","","","","20223","9411","11621","","2417","","","","","","","","","","","","","","","","","","","","","","","","8845","31428","40830","","",
"Estonia","EST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9043","6499","","","","","","","","323","546","654","","","","","","","566","856","927","1009","946","886","","",
"Ethiopia","ETH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","2563803","2645201","2757744","","","","","3742921","3815895","3795928","","3681167","3623855","3481518","3322628","3280205","3331557","3233906","2646228","2404305","2121961","1793533","1828099","2023872","1793161","1697298","","1313512","1394680","","","","","",
"European Union","EUU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","689330","690665","677400","731834","711940","717420","696880","721133","669207","652128","626964","664819","664839","720674","732317","758702","688101","628780","615896","637109","673208","707530","746888","665164","606347","538721","462434","379778","171744","228768","232919","223848","293782","303450","318323","244819","237633","236127","221040","232575","216933","197248","187697","179286","212144","193235","192441","221921","244627","242885","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","11700000","11900000","11900000","11900000","12300000","12400000","12500000","12300000","11900000","11300000","10900000","10400000","10300000","10400000","10600000","11100000","11800000","12400000","12800000","13600000","14100000","13600000","13800000","13800000","14200000","14900000","16300000","16500000","16500000","16700000","16400000","16300000","15700000","15300000","15100000","15200000","14800000","14800000","15200000","15000000","15000000","14500000","14300000","14700000","14700000","15300000","15400000","15600000","15900000","16000000","",
"Finland","FIN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2480","2485","3132","2521","2269","1227","","","","833","2292","4210","4582","5205","3956","3444","3040","2531","2169","1295","1219","437","1074","1186","1900","2086","","",
"Fiji","FJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1818","","1568","2269","3797","3561","2912","2946","2795","1031","","18","","","","","","293","","","","33","","598","","","","","",
"France","FRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","45850","45890","","","","","113547","","18266","7067","","45421","83209","","93083","44284","","","","","","14815","41328","43495","21606","","187","","59589","64747","65122","65361","69571","67803","","","","8927","16082","25808","1185","249","6008","23727","8912","523","","","","",
"Faroe Islands","FRO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","624","992","767","","","792","",
"Gabon","GAB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8145","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","49786","78201","104981","116187","113797","105345","95229","90258","83833","49174","49210","67598","101073","111461","127901","94145","35262","2727","","","32663","67827","","","","","","","","","","2324","","10892","","2236","41344","22984","40019","34458","35245","31808","8407","","","9850","13380","19278","","",
"Georgia","GEO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14299","1431","","","","","","","","","","","","1239","3566","","2382","2086","","1445","","2369","","","","",
